time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact,halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 18:22:13 2016
 1991.875     2.020   -0.153    0.245 1783.939    2.841   -0.690
 1991.958     1.840   -2.890   -0.435 1788.073    3.116   -0.790
 1992.042     0.550   -0.163    0.145 1792.176    2.702   -0.980
 1992.125     1.620   -0.388    0.055 1796.236    2.663   -1.090
 1992.208     0.610    0.963    0.375 1800.753    2.885   -1.350
 1992.292    -0.610    0.656    0.225 1804.724    2.622   -1.450
 1992.375    -0.760   -0.483    0.045 1809.136    2.674   -1.170
 1992.458    -1.280   -1.292   -0.075 1813.013    2.578   -0.880
 1992.542    -2.850   -2.751   -0.315 1816.855    2.460   -0.430
 1992.625    -4.050   -3.575   -0.345 1820.648    2.335    0.160
 1992.708    -5.170   -3.557   -0.215 1824.859    2.243    0.550
 1992.792    -6.860   -4.682   -0.455 1828.551    2.197    0.700
 1992.875    -6.980   -3.964   -0.245 1832.639    2.025    0.830
 1992.958    -7.260   -3.360   -0.095 1836.217    1.789    0.910
 1993.042    -8.050   -3.226   -0.075 1839.751    1.599    0.940
 1993.125    -8.080   -4.625   -0.475 1843.230    1.314    0.960
 1993.208    -8.990   -3.358   -0.165 1847.080    1.166    0.950
 1993.292    -8.610   -3.572   -0.195 1850.443    1.125    1.020
 1993.375   -10.260   -3.915   -0.235 1854.160    0.954    1.230
 1993.458    -9.380   -3.666   -0.235 1857.405    1.141    0.900
 1993.542    -6.250   -3.368   -0.285 1860.604    0.976    0.580
 1993.625    -6.550   -3.376   -0.325 1863.742    0.953    0.450
 1993.708    -4.770   -3.916   -0.485 1867.198    0.952    0.360
 1993.792    -5.260   -4.030   -0.645 1870.194    0.756    0.050
 1993.875    -4.280   -3.591   -0.615 1873.474    0.628   -0.160
 1993.958    -5.360   -2.959   -0.465 1876.307    0.665   -0.250
 1994.042    -3.750   -3.358   -0.635 1879.070    0.656   -0.470
 1994.125    -0.480   -2.056   -0.385 1881.751    0.584   -0.720
 1994.208    -3.290   -1.780   -0.345 1884.668    0.688   -0.900
 1994.292    -5.710   -2.040   -0.515 1887.168    0.632   -1.200
 1994.375    -2.960   -2.241   -0.615 1889.875    0.582   -1.340
 1994.458    -1.180   -2.034   -0.615 1892.192    0.558   -1.510
 1994.542    -0.850   -1.692   -0.615 1894.434    0.544   -1.790
 1994.625    -1.150   -1.813   -0.595 1896.593    0.553   -1.660
 1994.708    -0.470   -3.012   -0.725 1898.921    0.491   -1.100
 1994.792    -2.060   -3.606   -0.655 1900.899    0.521   -0.460
 1994.875    -5.980   -4.151   -0.545 1903.018    0.500    0.290
 1994.958    -5.960   -5.208   -0.665 1904.814    0.533    0.720
 1995.042    -7.350   -4.904   -0.555 1906.535    0.458    0.840
 1995.125    -7.280   -4.731   -0.565 1908.178    0.334    0.730
 1995.208    -6.690   -5.048   -0.655 1909.930    0.247    0.740
 1995.292    -7.510   -5.632   -0.755 1911.402    0.109    0.960
 1995.375    -8.060   -5.999   -0.715 1912.963    0.115    1.350
 1995.458    -7.280   -6.206   -0.655 1914.272    0.186    1.640
 1995.542    -5.150   -6.143   -0.675 1915.515    0.220    1.500
 1995.625    -3.250   -5.872   -0.665 1916.690    0.198    1.320
 1995.708    -3.170   -5.493   -0.685 1917.929    0.077    1.020
 1995.792    -1.360   -5.430   -0.775 1918.957    0.132    0.660
 1995.875    -1.180   -4.588   -0.705 1920.030    0.066    0.240
 1995.958    -1.160   -4.204   -0.735 1920.916    0.032   -0.140
 1996.042     0.050   -4.004   -0.735 1921.745    0.042   -0.310
 1996.125     1.420   -3.863   -0.745 1922.516    0.083   -0.480
 1996.208    -1.690   -3.657   -0.795 1923.313    0.067   -0.790
 1996.292    -3.810   -3.448   -0.765 1923.957    0.139   -0.910
 1996.375    -4.560   -3.209   -0.755 1924.615    0.152   -1.080
 1996.458    -3.680   -3.221   -0.745 1925.142    0.107   -1.020
 1996.542    -2.750   -2.827   -0.775 1925.619    0.067   -1.400
 1996.625    -1.450   -2.406   -0.715 1926.045    0.080   -1.560
 1996.708    -0.970   -2.162   -0.695 1926.458    0.036   -1.670
 1996.792    -1.060   -2.555   -0.745 1926.764    0.061   -1.530
 1996.875    -1.380   -3.654   -0.905 1927.034    0.070   -1.160
 1996.958    -3.860   -3.542   -0.675 1927.211    0.076   -0.560
 1997.042    -3.350   -4.087   -0.675 1927.333    0.068   -0.130
 1997.125    -4.180   -4.716   -0.705 1927.397    0.122    0.240
 1997.208    -4.390   -4.765   -0.675 1927.399    0.084    0.390
 1997.292    -5.110   -5.252   -0.675 1927.333    0.122    0.750
 1997.375    -8.260   -5.585   -0.635 1927.186    0.091    1.150
 1997.458    -6.980   -6.113   -0.645 1926.993    0.046    1.560
 1997.542    -8.050   -6.392   -0.655 1926.746    0.064    1.740
 1997.625    -8.350   -5.815   -0.595 1926.448    0.069    1.470
 1997.708    -6.470   -6.138   -0.705 1926.046    0.007    1.430
 1997.792    -2.860   -4.974   -0.445 1925.629    0.018    1.300
 1997.875    -2.780   -4.907   -0.535 1925.096    0.021    0.980
 1997.958    -2.260   -4.162   -0.495 1924.567    0.079    0.490
 1998.042    -1.750   -3.519   -0.415 1923.992    0.101    0.220
 1998.125    -1.380   -3.191   -0.455 1923.373    0.100   -0.150
 1998.208     0.410   -3.286   -0.555 1922.621    0.117   -0.380
 1998.292     0.190   -1.975   -0.285 1921.904    0.125   -0.590
 1998.375     1.440   -2.067   -0.415 1921.043    0.104   -0.890
 1998.458     2.020   -1.461   -0.325 1920.234    0.077   -1.070
 1998.542     1.850   -0.430   -0.135 1919.388    0.065   -1.290
 1998.625     2.050   -0.848   -0.285 1918.508    0.070   -1.410
 1998.708     1.930   -1.074   -0.295 1917.476    0.082   -1.260
 1998.792     1.840   -0.245   -0.035 1916.522    0.070   -1.110
 1998.875     1.620   -1.012   -0.115 1915.412    0.121   -0.770
 1998.958    -1.860   -1.297   -0.005 1914.396    0.074   -0.180
 1999.042    -4.750   -1.488    0.105 1913.355    0.144    0.270
 1999.125    -4.180   -2.609   -0.135 1912.293    0.187    0.410
 1999.208    -3.190   -2.363   -0.025 1911.070    0.151    0.580
 1999.292    -2.010   -3.222   -0.125 1909.960    0.101    0.990
 1999.375    -1.160   -3.126    0.005 1908.687    0.026    1.360
 1999.458    -0.980   -3.396    0.025 1907.536    0.101    1.600
 1999.542    -1.250   -3.305    0.055 1906.366    0.083    1.640
 1999.625    -0.950   -2.983    0.095 1905.182    0.046    1.540
 1999.708     0.230   -2.342    0.205 1903.828    0.067    1.370
